file_name,transcription,age,gender,accent
common_voice_ko_41668884.wav,소회는 묻고 또 물었다.,twenties,female_feminine,표준어
common_voice_ko_39610437.wav,도서관에서 만나자.,twenties,male_masculine,non-native speaker
common_voice_ko_39610438.wav,애 점순아! 점순아!,twenties,male_masculine,non-native speaker
common_voice_ko_39571266.wav,어리석은 자는 그 노를 다 드러내어도 지혜로운 자는 그 노를 억제하느니라,twenties,male_masculine,Seoul
common_voice_ko_39571273.wav,병실로 떠메어 들어온 뒤에야 영신은 차츰차츰 의식을 회복하였다.,twenties,male_masculine,Seoul
common_voice_ko_39571277.wav,그때 다리를 빼앗기던 장면이 휙 떠오른다.,twenties,male_masculine,Seoul
common_voice_ko_38257689.wav,화요일에 옷을 사고 싶어요.,thirties,male_masculine,That of a foreigner
common_voice_ko_38257690.wav,그러면 투표를 마치겠습니다.,thirties,male_masculine,That of a foreigner
common_voice_ko_38257691.wav,나는 이것을 의논할 사람은 춘우밖에 없다.,thirties,male_masculine,That of a foreigner
common_voice_ko_38257692.wav,이거 놔! 놓으라고!,thirties,male_masculine,That of a foreigner
common_voice_ko_39476318.wav,그러나 말소리는 들리지 않고 무슨 옷갈피를 뒤지는 소리가 부스스 들릴 뿐이다.,thirties,female_feminine,표준어
common_voice_ko_39476319.wav,그런 걸 별짓을 다해 가면서 억지루 시작을 했었지요.,thirties,female_feminine,표준어
common_voice_ko_39476322.wav,따라서 의사에게 보인 적이 없으니 무슨 병인지는 알 수 없으되,thirties,female_feminine,표준어
common_voice_ko_39476325.wav,그 말에 회원들은 손바닥이 뜨겁도록 박수를 한다.,thirties,female_feminine,표준어
common_voice_ko_39476326.wav,더욱 신철의 집에서 몇 번 보기도 하였다.,thirties,female_feminine,표준어
common_voice_ko_39476327.wav,창 밖에 밤비가 속살거려,thirties,female_feminine,표준어
common_voice_ko_39476341.wav,그 목소리는 몸집과 딴판으로 연하고 싹싹하였다.,thirties,female_feminine,표준어
common_voice_ko_39476345.wav,아직도 인천 시가는 뿌연 분위기 속에 잠겨 있었다.,thirties,female_feminine,표준어
common_voice_ko_39476347.wav,출동하면 반은 이런 경우죠,thirties,female_feminine,표준어
common_voice_ko_39476353.wav,채찍과 꾸지람이 지혜를 주거늘 임의로 하게 버려두면 그 자식은 어미를 욕되게 하느니라,thirties,female_feminine,표준어
common_voice_ko_37597007.wav,십 년 만에 만나는 친구의 음성인들 이 빗소리보다 더 반가우랴.,twenties,male_masculine,경기도
common_voice_ko_37597008.wav,물론 공장에서 내준 것이 아니고 여공들 스스로 해입게 하였던 것이다.,twenties,male_masculine,경기도
common_voice_ko_37597009.wav,음성 기술은 그 편리한 방법을 컴퓨터와 모바일 환경에서 사용할 수 있게 합니다.,twenties,male_masculine,경기도
common_voice_ko_37597011.wav,할멈은 올 가을에 새로한 이 무명저고리를 아까워서 입지 못하고 두었던 것이다.,twenties,male_masculine,경기도
common_voice_ko_37597013.wav,무슨 핑계를 하는지 기어이 못 보게 하고 만다.,twenties,male_masculine,경기도
common_voice_ko_37597038.wav,시멘트 포대를 시멘트 가루 개는 곳으로 나르라는 것이다.,twenties,male_masculine,경기도
common_voice_ko_37597039.wav,형제는 그 아버지의 시체 앞에 꿇어 엎드려 목을 놓고 울었습니다.,twenties,male_masculine,경기도
common_voice_ko_37597040.wav,선생님 말씀은 제가 모두 듣고 있었지요.,twenties,male_masculine,경기도
common_voice_ko_37597042.wav,는 듯이 상을 찌푸리고 꼴딱꼴딱 마셔 넘긴다.,twenties,male_masculine,경기도
common_voice_ko_37597043.wav,이라고 버젓이 씌어 있는 것을 보니 동혁의 가슴은 울렁거리지 않을 수 없었다.,twenties,male_masculine,경기도
common_voice_ko_37597064.wav,신철이는 눈가로 약간 웃음을 띠며 이런 말을 하였다.,twenties,male_masculine,경기도
common_voice_ko_37597065.wav,무슨 뜻이에요?,twenties,male_masculine,경기도
common_voice_ko_37597066.wav,벽을 새로 감독과 그가 마주 누운 것이 직각 되자 불쾌하였다.,twenties,male_masculine,경기도
common_voice_ko_37597067.wav,꼬리를 굴리는 행운이 꼭 자기를 기다리고 있다고 내기를 해도 좋을 만한 믿음을 얻게 되었다.,twenties,male_masculine,경기도
common_voice_ko_36800748.wav,그러는 동안에 옆에 있던 설성월이가 보이지를 아니하였다.,twenties,male_masculine,사투리가 조금 있는
common_voice_ko_36800749.wav,동혁은 물끄러미 영신을 보다가 말을 계속한다.,twenties,male_masculine,사투리가 조금 있는
common_voice_ko_36800750.wav,신철이는 모자로 해를 가리며 이마의 땀을 씻었다.,twenties,male_masculine,사투리가 조금 있는
common_voice_ko_36800751.wav,며칠 후에 풍헌이 보이지 않으므로 누구에게 물으니 그는 벌써 어디론지 가버리고 말았다는 것이다.,twenties,male_masculine,사투리가 조금 있는
common_voice_ko_36800752.wav,그리고 감독이 물으면 대답하려고 어제 밤새도록 준비하였던 말이 어디로 달아나 버리고 말았다.,twenties,male_masculine,사투리가 조금 있는
common_voice_ko_36800753.wav,싸락눈이 그의 다는 얼굴을 선듯선듯하게 하여 준다.,twenties,male_masculine,사투리가 조금 있는
